,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of mother,Women who had a child in last year ,,,,,,,,,,,,,,,,,,,"Total births per 1,000 women",,,,,,,,,,,,,,,,,,,"First births per 1,000 women",,,,,,,,,,,,,,,,,,
,"1980 (1,000)","1981 (1,000)","1982 (1,000)","1983 (1,000)","1984 (1,000)","1985 (1,000)","1986 (1,000)","1987 (1,000)","1988 (1,000)","1990 (1,000)","1992 (1,000)","1994 (1,000)","1995 (1,000)","1998 (1,000)","2000 (1,000)","2002 (1,000)","2004 (1,000)","2006 (1,000)","2008 (1,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1990,1992,1994,1995,1998,2000,2002,2004,2006,2008,1980,1981,1982,1983,1984,1985,1986,1987,1988,1990,1992,1994,1995,1998,2000,2002,2004,2006,2008
     Total,3247,3381,3433,3625,3311,3497,3550,3701,3667,3913,3688,3890,3696,3671,3934,3766,3746,3974,3960,71.1,70.9,70.5,73.2,65.8,68.6,68.8,71,69.7,67,62.9,64.7,61.4,60.7,64.6,61.4,60.8,64.4,64.2,28.5,27.1,25.9,27.6,27.7,27.1,25.3,27.4,24.4,26.4,24.8,27.4,23.2,24.6,26.7,23.1,23.9,25.1,25.3
15 to 29 years old \1,2476,2499,2445,2682,2375,2512,2391,2521,2384,2568,2346,2389,2252,2274,2432,2318,2205,2399,2372,103.7,100.4,97.5,106.8,94.8,101.4,97.3,103.9,99.3,90.8,85.9,85.6,81.2,81.7,85.9,80.7,74.7,79,76.7,48.6,44.6,44.3,47.4,45.2,47.1,42.6,48,42,43.2,40.9,46.3,38.1,40.2,43.1,35.4,35.1,37.1,37.4
  15 to 19 years old,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),338,311,397,340,460,586,549,385,417,371,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39.8,38,45.2,37.7,48,59.7,55.9,38.7,40.6,35.6,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30.1,27.9,36.3,26.9,29.3,38.7,27.7,22.1,23.7,23.1
  20 to 24 years old,1396,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1038,941,938,957,864,850,872,882,935,864,96.6,92.1,88.3,97,87,95.4,89,97,87.1,113.4,103.4,101,105.7,98.2,91.8,90,87.6,92.8,85.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51.8,49.4,58.4,52.5,50.4,47.1,45.3,43,47.9,46.8
  25 to 29 years old,1081,1132,1139,1265,1123,1173,1223,1244,1238,1192,1094,1054,955,950,996,897,938,1046,1138,114.8,112.8,110.7,121,105.5,109.2,111.8,114,114.2,112.1,109,107.7,98.8,100.5,107.9,97.2,98.7,104.6,109.8,(NA),37.4,34.3,40.1,41.2,38.7,38.7,44.6,35.2,46.2,43.7,43.9,35.1,41.8,43.7,33.2,40.2,40.1,42.7
30 to 44 years old,770,881,988,942,936,984,1158,1180,1283,1346,1342,1501,1444,1397,1502,1448,1542,1576,1587,35.4,38.7,41.9,38.7,37.1,37.6,42.9,42.3,44.9,44.7,42.9,46.6,44.4,42.7,46.1,44.4,48.1,50.3,51.6,6.3,7.9,6.4,7.2,10.2,8,9.6,9.4,9.6,10.6,10.7,11,10.4,11.3,12.5,12.2,13.7,13.5,13.1
  30 to 34 years old,519,628,691,658,703,704,809,786,884,892,856,1006,926,843,871,859,946,888,874,60,67.3,73.5,69.1,72.2,69.9,78.3,74.1,81.6,80.4,76.1,90.4,83.8,82.4,87.9,83.6,93.8,92,90.9,(NA),14.3,14.1,13.8,20.9,15.8,19.5,18.2,20.3,21.9,21.8,23,21.2,23.8,27.5,26.4,28.4,28.7,27.6
  35 to 39 years old,192,210,230,225,195,229,282,341,324,377,404,399,410,437,506,452,443,579,550,26.9,28.6,29.4,27.5,22.7,25.9,30,36.2,33.8,37.3,38,36,36.7,38.5,45.1,41.9,42.4,55.4,52.9,(NA),5.6,1.7,5.2,5.4,5.2,5.4,6.5,5.1,6.5,6.4,7.3,7.8,8.7,9.6,7.9,11.5,11.6,9.5
  40 to 44 years old,59,43,67,59,38,51,68,53,75,77,82,95,107,117,125,137,153,109,163,9.9,7.1,10.5,8.9,5.5,7.1,9.3,6.8,9.2,8.6,8.7,9.6,10.5,10.5,10.9,11.9,13.2,9.7,15.2,(NA),0.9,0.7,0.3,1.1,0.8,1.1,1,0.5,1.2,2.3,1.8,1.5,2.6,2.3,3.6,2.8,2.3,3.5
