State,State Code,Population in 2008,Population Density in 2008
Alabama,AL,4661000,91.9
Alaska,AK,686000,1.2
Arizona,AZ,6500000,57.2
Arkansas,AR,2855000,54.8
California,CA,36756000,235.7
Colorado,CO,4939000,47.6
Connecticut,CT,3501000,722.7
Delaware,DE,873000,446.9
Florida,FL,18328000,339.9
Georgia,GA,9685000,167.3
Hawaii,HI,1288000,200.6
Idaho,ID,1523000,18.4
Illinois,IL,12901000,232.1
Indiana,IN,6376000,177.8
Iowa,IA,3002000,53.7
Kansas,KS,2802000,34.2
Kentucky,KY,4269000,107.5
Louisiana,LA,4410000,101.3
Maine,ME,1316000,42.7
Maryland,MD,5633000,576.4
Massachusetts,MA,6497000,828.8
Michigan,MI,10003000,176.1
Minnesota,MN,5220000,65.6
Mississippi,MS,2938000,62.6
Missouri,MO,5911000,85.8
Montana,MT,967000,6.6
Nebraska,NE,1783000,23.2
Nevada,NV,2600000,23.7
New Hampshire,NH,1315000,146.7
New Jersey,NJ,8682000,1170.6
New Mexico,NM,1984000,16.4
New York,NY,19490000,412.8
North Carolina,NC,9222000,189.3
North Dakota,ND,641000,9.3
Ohio,OH,11485000,280.5
Oklahoma,OK,3642000,53.0
Oregon,OR,3790000,39.5
Pennsylvania,PA,12448000,277.8
Rhode Island,RI,1050000,1005.6
South Carolina,SC,4479000,148.8
South Dakota,SD,804000,10.6
Tennessee,TN,6214000,150.8
Texas,TX,24326000,92.9
Utah,UT,2736000,33.3
Vermont,VT,621000,67.2
Virginia,VA,7769000,196.2
Washington,WA,6549000,98.4
West Virginia,WV,1814000,75.4
Wisconsin,WI,5627000,103.6
Wyoming,WY,532000,5.5
