HEMISPHERE,Year,Month,INF_ALL
NH,2019,April,30379.0
NH,2019,May,9743.0
NH,2019,June,5902.0
NH,2019,July,5920.0
NH,2019,August,4154.0
NH,2019,September,6332.0
NH,2019,October,6516.0
NH,2019,November,21733.0
NH,2019,December,65242.0
NH,2019,January,71873.0
NH,2019,February,85424.0
NH,2019,March,76353.0
NH,2020,April,470.0
NH,2020,May,178.0
NH,2020,June,135.0
NH,2020,July,75.0
NH,2020,August,167.0
NH,2020,September,362.0
NH,2020,October,596.0
NH,2020,November,753.0
NH,2020,December,19681.0
NH,2020,January,87806.0
NH,2020,February,94644.0
NH,2020,March,39096.0
NH,2021,April,302.0
NH,2021,May,410.0
NH,2021,June,404.0
NH,2021,July,467.0
NH,2021,August,2584.0
NH,2021,September,2182.0
NH,2021,October,2001.0
NH,2021,November,8206.0
NH,2021,December,30899.0
NH,2021,January,644.0
NH,2021,February,542.0
NH,2021,March,507.0
NH,2022,April,30253.0
NH,2022,May,32969.0
NH,2022,June,9791.0
NH,2022,July,4243.0
NH,2022,August,5172.0
NH,2022,September,6290.0
NH,2022,October,45958.0
NH,2022,November,153983.0
NH,2022,December,155225.0
NH,2022,January,17685.0
NH,2022,February,14261.0
NH,2022,March,24788.0
SH,2019,April,786.0
SH,2019,May,959.0
SH,2019,June,2608.0
SH,2019,July,2650.0
SH,2019,August,1852.0
SH,2019,September,1076.0
SH,2019,October,243.0
SH,2019,November,156.0
SH,2019,December,329.0
SH,2019,January,361.0
SH,2019,February,655.0
SH,2019,March,563.0
SH,2020,April,88.0
SH,2020,May,23.0
SH,2020,June,23.0
SH,2020,July,18.0
SH,2020,August,13.0
SH,2020,September,10.0
SH,2020,October,6.0
SH,2020,November,11.0
SH,2020,December,110.0
SH,2020,January,367.0
SH,2020,February,598.0
SH,2020,March,867.0
SH,2021,April,45.0
SH,2021,May,57.0
SH,2021,June,45.0
SH,2021,July,28.0
SH,2021,August,47.0
SH,2021,September,128.0
SH,2021,October,224.0
SH,2021,November,646.0
SH,2021,December,1984.0
SH,2021,January,30.0
SH,2021,February,15.0
SH,2021,March,16.0
SH,2022,April,4535.0
SH,2022,May,3669.0
SH,2022,June,2849.0
SH,2022,July,1785.0
SH,2022,August,1631.0
SH,2022,September,1266.0
SH,2022,October,2120.0
SH,2022,November,1480.0
SH,2022,December,859.0
SH,2022,January,4732.0
SH,2022,February,2544.0
SH,2022,March,6004.0
